0.045692,0.00095736,0.00041905,0.0010864,0.0015801,0.00025242,0.0011714,1.548e-05,0.00061525,9.7655e-07
0.070981,0.0053757,0.0057755,0.0055583,0.0070739,0.0016576,0.0052385,0.004086,0.0056994,0.0041665
0.076197,0.011516,0.019584,0.011904,0.013097,0.0075734,0.013018,0.017015,0.016658,0.019006
0.082821,0.021108,0.042962,0.020735,0.023224,0.019113,0.028535,0.036222,0.034913,0.043895
0.099768,0.039343,0.078858,0.032907,0.035473,0.0391,0.050318,0.063443,0.059922,0.071329
0.12723,0.061953,0.13041,0.058762,0.048221,0.064105,0.078333,0.093807,0.091018,0.10224
0.14977,0.088615,0.19906,0.086884,0.06309,0.092936,0.11079,0.12613,0.12275,0.13423
0.16476,0.12341,0.27936,0.11799,0.085673,0.1225,0.14208,0.16005,0.1578,0.16883
0.1922,0.15275,0.37087,0.14384,0.11316,0.15543,0.17315,0.19107,0.18982,0.20162
0.23713,0.17996,0.45745,0.1706,0.13968,0.19056,0.20908,0.22729,0.2264,0.23698
0.28361,0.22536,0.53759,0.20486,0.1581,0.22301,0.24568,0.26708,0.26859,0.28105
0.35861,0.34148,0.60777,0.25731,0.175,0.25115,0.28552,0.31266,0.3172,0.32986
0.42819,0.55762,0.66447,0.30519,0.19901,0.28408,0.31908,0.34706,0.35287,0.36649
0.461,0.7439,0.70694,0.35218,0.24481,0.3179,0.34546,0.37037,0.37472,0.38601
0.49526,0.76346,0.73712,0.41387,0.29135,0.35328,0.36412,0.38142,0.38259,0.39239
0.5324,0.69711,0.7569,0.4968,0.33235,0.37762,0.38262,0.39659,0.39611,0.40484
0.58706,0.61301,0.77388,0.60526,0.36706,0.39416,0.39611,0.41428,0.41692,0.42752
0.63576,0.53475,0.80092,0.72512,0.4083,0.41734,0.4167,0.43453,0.43598,0.44556
0.69355,0.4324,0.82373,0.82669,0.46761,0.45585,0.4419,0.4464,0.4412,0.44737
0.78221,0.39963,0.85387,0.90745,0.54918,0.49364,0.4588,0.4566,0.44813,0.45271
0.83707,0.39934,0.88472,0.97158,0.63283,0.5368,0.48839,0.47954,0.46764,0.47004
0.86544,0.40839,0.91612,1.0184,0.71507,0.59253,0.5336,0.51999,0.50693,0.50922
0.85046,0.41721,0.96446,1.0528,0.79156,0.66514,0.60018,0.58429,0.57002,0.57128
0.87475,0.42771,1.0419,1.0696,0.85476,0.76351,0.69074,0.6685,0.65091,0.65004
0.90186,0.44319,1.1471,1.0736,0.91892,0.86862,0.80072,0.77245,0.75085,0.74771
0.93474,0.46028,1.256,1.0629,0.9771,0.96787,0.91779,0.89497,0.87311,0.86892
0.96525,0.47772,1.3971,1.0536,1.0267,1.0558,1.0352,1.0263,1.0114,1.0104
0.98197,0.49492,1.4068,1.0531,1.0668,1.1266,1.143,1.1554,1.1558,1.1625
1.0032,0.51457,1.2483,1.0555,1.0984,1.1909,1.2423,1.2752,1.2909,1.2987
1.0361,0.53658,1.0934,1.0608,1.1298,1.2623,1.3304,1.3672,1.3868,1.3963
1.071,0.56077,0.94984,1.0662,1.1754,1.338,1.4047,1.433,1.4474,1.4549
1.1079,0.58766,0.83089,1.0784,1.2357,1.4032,1.4572,1.4747,1.4832,1.4872
1.1444,0.61634,0.81321,1.116,1.3052,1.4446,1.4843,1.4951,1.5012,1.5042
1.1877,0.64773,0.82698,1.2043,1.363,1.4701,1.4929,1.5013,1.5085,1.5125
1.2296,0.6824,0.83816,1.402,1.4033,1.4841,1.4981,1.5028,1.5096,1.5139
1.2668,0.72079,0.84879,1.6659,1.4272,1.4916,1.5068,1.5068,1.5103,1.5126
1.2996,0.76001,0.85803,1.7183,1.4465,1.4947,1.5148,1.5123,1.5139,1.515
1.3356,0.79838,0.87344,1.6091,1.485,1.4949,1.5189,1.5183,1.521,1.5228
1.3689,0.83602,0.89439,1.4653,1.6051,1.5025,1.5183,1.5206,1.528,1.5323
1.4018,0.87461,0.91972,1.2864,1.8361,1.5271,1.5287,1.5258,1.5313,1.5358
1.4349,0.91033,0.95231,1.1629,1.9146,1.6287,1.5512,1.5353,1.5365,1.5376
1.4656,0.9466,0.98789,1.1445,1.7854,1.8409,1.6294,1.5627,1.5477,1.5431
1.4908,0.98319,1.0215,1.1616,1.6172,1.9612,1.813,1.6566,1.6032,1.5797
1.5193,1.0178,1.0577,1.1812,1.4394,1.8492,1.9762,1.8658,1.7629,1.698
1.5556,1.048,1.0962,1.1954,1.262,1.6767,1.8871,1.9584,1.9605,1.93
1.5892,1.0746,1.1366,1.2074,1.2081,1.4943,1.7232,1.8679,1.9804,2.0538
1.6033,1.105,1.1809,1.2277,1.1982,1.285,1.6132,1.8107,1.9621,2.0424
1.6496,1.1349,1.2259,1.2489,1.1924,1.2509,1.5276,1.746,1.8294,1.8471
1.7006,1.1703,1.27,1.2561,1.2043,1.3697,1.4961,1.4881,1.515,1.5431
